,iditemcompra,cnpj
0,100010500039201500001,02055765000154
1,100010500039201500001,16500873000101
2,100010500039201500001,15752145000116
3,100010500039201500001,13303039000120
4,100010500039201500001,67645002000109
5,100010500039201500001,19915068000129
6,100010500039201500001,26524199000140
7,100010500039201500002,15752145000116
8,100010500039201500002,02316886000102
9,100010500039201500002,16500873000101
10,100010500039201500002,26524199000140
11,100010500039201500002,13303039000120
12,100010500039201500002,19915068000129
13,100010500039201500002,13758327000179
14,100010500039201500003,21567593000142
15,100010500039201500003,02055765000154
16,100010500039201500003,16500873000101
17,100010500039201500003,00761025000108
18,100010500039201500003,13758327000179
19,100010500039201500003,13303039000120
20,100010500039201500003,17100522000168
21,100010500039201500004,17100522000168
22,100010500039201500004,16500873000101
23,100010500039201500004,00761025000108
24,100010500039201500004,19915068000129
25,100010500039201500004,03958763000138
26,100010500039201500004,67645002000109
27,100010500039201500004,02316886000102
28,100010500048201500003,19614487000120
29,100010500048201500003,00761025000108
30,100010500048201500003,11594621000167
31,100010500048201500003,09105910000103
32,100010500048201500003,06309791000112
33,100010500048201500003,20496317000178
34,100010500048201500003,17696326000106
35,100010500048201500003,11862730000118
36,100010500048201500003,19806688000120
37,100010500048201500003,06177718000134
38,100010500048201500003,17249593000127
39,100010500048201500003,17310936000111
40,100010500048201500003,10752963000103
41,100010500048201500003,21338820000168
42,100010500048201500004,17696326000106
43,100010500048201500004,06309791000112
44,100010500048201500004,00761025000108
45,100010500048201500004,02807570000113
46,100010500048201500004,11594621000167
47,100010500048201500004,17310936000111
48,100010500048201500004,19915068000129
49,100010500039201500001,03958763000138
